year/reg_name/reg_pop
2019/AUVERGNE RHONE ALPES/8032377
2019/BOURGOGNE FRANCHE COMTE/2783039
2019/BRETAGNE/3340379
2019/CENTRE VAL DE LOIRE/2559073
2019/CORSE/344679
2019/GRAND EST/5511747
2019/HAUTS DE FRANCE/5962662
2019/ILE DE FRANCE/12278210
2019/NORMANDIE/3303500
2019/NOUVELLE AQUITAINE/5999982
2019/OCCITANIE/5924858
2019/PAYS DE LA LOIRE/3801797
2019/PROVENCE ALPES COTE D AZUR/5055651
2019/GUADELOUPE/376879
2019/MARTINIQUE/358749
2019/GUYANE/290691
2019/LA REUNION/859959
2019/MAYOTTE/279471
2018/AUVERGNE RHONE ALPES/7977170
2018/BOURGOGNE FRANCHE COMTE/2802590
2018/BRETAGNE/3326992
2018/CENTRE VAL DE LOIRE/2570916
2018/CORSE/338273
2018/GRAND EST/5538416
2018/HAUTS DE FRANCE/5992448
2018/ILE DE FRANCE/12210524
2018/NORMANDIE/3322583
2018/NOUVELLE AQUITAINE/5972150
2018/OCCITANIE/5872889
2018/PAYS DE LA LOIRE/3772852
2018/PROVENCE ALPES COTE D AZUR/5039966
2018/GUADELOUPE/385761
2018/MARTINIQUE/368050
2018/GUYANE/276127
2018/LA REUNION/856148
2018/MAYOTTE/259906
2017/AUVERGNE RHONE ALPES/7948287
2017/BOURGOGNE FRANCHE COMTE/2811423
2017/BRETAGNE/3318904
2017/CENTRE VAL DE LOIRE/2576252
2017/CORSE/334938
2017/GRAND EST/5549586
2017/HAUTS DE FRANCE/6003815
2017/ILE DE FRANCE/12174880
2017/NORMANDIE/3330478
2017/NOUVELLE AQUITAINE/5956978
2017/OCCITANIE/5845102
2017/PAYS DE LA LOIRE/3757600
2017/PROVENCE ALPES COTE D AZUR/5030890
2017/GUADELOUPE/390253
2017/MARTINIQUE/372594
2017/GUYANE/268700
2017/LA REUNION/853659
2017/MAYOTTE/250143
2016/AUVERGNE RHONE ALPES/7916889
2016/BOURGOGNE FRANCHE COMTE/2818338
2016/BRETAGNE/3306529
2016/CENTRE VAL DE LOIRE/2577866
2016/CORSE/330455
2016/GRAND EST/5555186
2016/HAUTS DE FRANCE/6006870
2016/ILE DE FRANCE/12117132
2016/NORMANDIE/3335929
2016/NOUVELLE AQUITAINE/5935603
2016/OCCITANIE/5808435
2016/PAYS DE LA LOIRE/3737632
2016/PROVENCE ALPES COTE D AZUR/5021928
2016/GUADELOUPE/394110
2016/MARTINIQUE/376480
2016/GUYANE/269352
