OPERATEUR;ANNEE;FILIERE;TYPE;CODE;CONSOA;PDLA;INDQUALA;CONSOI;PDLI;INDQUALI;CONSOT;PDLT;INDQUALT;CONSOR;PDLR;INDQUALR;CONSONA;PDLNA;INDQUALNA
Régie d’électricité de Roquebillière;2010;E;Commune;06103;25,00;5;1,000000;1267,00;7;1,000000;1360,00;105;1,000000;4736,00;1147;1,000000;874,00;48;1,000000
Régie municipale d’électricité d’Arignac;2010;E;Commune;09015;0,00;0;0,000000;175,00;1;1,000000;338,00;26;0,500000;1921,00;411;0,500000;294,00;19;0,500000
Régie municipale d’électricité de Saint-Quirc;2010;E;Commune;09076;23,50;3;0,500000;0,00;0;0,000000;27,95;9;0,500000;567,82;104;0,500000;6,71;1;0,500000
Régie municipale d’électricité de Dalou;2010;E;Commune;09104;0,00;0;0,000000;0,00;0;0,000000;21,00;4;1,000000;1684,00;348;1,000000;158,00;15;1,000000
Régie municipale d’électricité de l’Hospitalet Près L’Andorre;2010;E;Commune;09139;0,00;0;0,000000;0,00;0;0,000000;509,00;35;1,000000;368,00;94;1,000000;274,00;23;1,000000
Régie municipale d’électricité de Saint-Quirc;2010;E;Commune;09147;16,40;4;0,500000;0,00;0;0,000000;33,87;6;0,500000;342,74;57;0,500000;1,96;1;0,500000
Régie municipale d’électricité de Saint-Quirc;2010;E;Commune;09170;0,00;0;0,000000;0,00;0;0,000000;42,26;12;0,500000;779,71;123;0,500000;0,17;1;0,500000
Régie municipale d’électricité de Mazères;2010;E;Commune;09185;446,00;95;1,000000;7759,00;14;1,000000;2745,00;135;1,000000;10720,00;1746;1,000000;481,00;96;1,000000
Régie municipale d’électricité de Mercus et Garrabet;2010;E;Commune;09188;0,00;0;0,000000;0,00;0;0,000000;490,00;42;0,500000;2207,00;475;0,500000;435,00;32;0,500000
Régie municipale d’électricité de Mérens Les Vals;2010;E;Commune;09189;0,00;0;0,000000;0,00;0;0,000000;61,00;9;1,000000;701,00;221;1,000000;318,00;23;1,000000
Régie municipale d’électricité de Quié;2010;E;Commune;09240;0,00;0;0,000000;0,00;0;0,000000;4,00;1;1,000000;775,00;174;1,000000;332,00;8;1,000000
Régie municipale d’électricité de Saint-Quirc;2010;E;Commune;09275;21,14;4;0,500000;0,00;0;0,000000;72,51;13;0,500000;917,61;160;0,500000;4,17;2;0,500000
Régie municipale d’électricité de Saverdun;2010;E;Commune;09282;701,47;59;1,000000;10531,71;13;1,000000;4740,05;254;1,000000;10734,38;2145;1,000000;398,46;21;1,000000
Régie municipale d’électricité de Tarascon sur Ariège;2010;E;Commune;09306;0,00;0;0,000000;2611,00;6;1,000000;5011,00;307;0,500000;6829,00;1727;0,500000;2084,00;89;0,500000
Régie municipale d’électricité de Varilhes;2010;E;Commune;09324;0,00;0;0,000000;2454,00;6;1,000000;2486,00;132;1,000000;9042,00;1678;1,000000;1617,00;111;1,000000
Régie municipale d’électricité de Vicdessos;2010;E;Commune;09334;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;2995,00;518;1,000000;0,00;0;0,000000
Régie municipale d’énergie Electrique de Quillan;2010;E;Commune;11304;0,00;0;0,000000;3963,59;13;0,000000;1919,64;24;0,000000;14132,81;2581;0,000000;0,00;0;0,000000
Régies municipales d’électricité, d’eau et d’assainissement de Cazères;2010;E;Commune;31135;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;13364,00;2629;1,000000;7536,00;399;1,000000
Régie municipale d’électricité de Martres Tolosane;2010;E;Commune;31324;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;5905,00;1180;1,000000;3791,00;206;1,000000
Régie municipale d’électricité de Miramont Les Comminges;2010;E;Commune;31344;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;2631,00;471;0,000000;0,00;0;0,000000
Régie municipale multiservices de La Réole;2010;E;Commune;33352;152,58;5;0,800000;2103,63;22;0,800000;1902,52;118;0,800000;4615,91;1135;0,800000;15,00;4;0,800000
Gignac Energie;2010;E;Commune;34114;0,00;0;0,000000;3219,00;6;1,000000;0,00;0;0,000000;20070,00;2700;0,200000;0,00;0;0,000000
Groupement Elise - Régie d’Allemont;2010;E;Commune;38005;0,00;0;0,000000;0,00;0;0,000000;2130,00;126;0,000000;4445,00;126;0,000000;0,00;0;0,000000
Régie municipale d’électricité d’Allevard;2010;E;Commune;38006;0,00;0;0,000000;0,00;0;0,000000;10842,00;368;0,000000;12762,00;2659;0,000000;0,00;0;0,000000
Régie municipale d’électricité de la Ferrière;2010;E;Commune;38163;0,00;0;0,000000;0,00;0;0,000000;3302,00;94;0,000000;2068,00;772;0,000000;0,00;0;0,000000
Groupement Elise - Régie du Moutaret;2010;E;Commune;38268;0,00;0;0,000000;0,00;0;0,000000;87,00;14;0,000000;767,00;127;0,000000;0,00;0;0,000000
Groupement Elise - Régie de Pinsot;2010;E;Commune;38306;0,00;0;0,000000;0,00;0;0,000000;108,00;28;0,000000;725,00;185;0,000000;0,00;0;0,000000
