OPERATEUR;ANNEE;FILIERE;TYPE;CODE;CONSOA;PDLA;INDQUALA;CONSOI;PDLI;INDQUALI;CONSOT;PDLT;INDQUALT;CONSOR;PDLR;INDQUALR;CONSONA;PDLNA;INDQUALNA
Régie d’électricité de Roquebillière;2009;E;Commune;06103;4,00;5;1,000000;1199,00;6;1,000000;962,00;103;1,000000;3356,00;1142;1,000000;465,00;47;1,000000
Régie municipale d’électricité d’Arignac;2009;E;Commune;09015;0,00;0;0,000000;171,00;1;1,000000;192,00;23;0,500000;2158,00;428;0,500000;168,00;18;0,500000
Régie municipale d’électricité de Saint-Quirc;2009;E;Commune;09076;26,04;2;0,500000;0,00;0;0,000000;26,99;9;0,500000;481,53;101;0,500000;4,78;4;0,500000
Régie municipale d’électricité de Dalou;2009;E;Commune;09104;0,00;0;0,000000;0,00;0;0,000000;54,00;8;1,000000;1647,00;415;1,000000;0,00;0;0,000000
Régie municipale d’électricité de l’Hospitalet Près L’Andorre;2009;E;Commune;09139;0,00;0;0,000000;0,00;0;0,000000;530,00;38;1,000000;359,00;77;1,000000;274,00;24;1,000000
Régie municipale d’électricité de Saint-Quirc;2009;E;Commune;09147;14,06;4;0,500000;0,00;0;0,000000;25,66;6;0,500000;293,45;55;0,500000;1,65;1;0,500000
Régie municipale d’électricité de Saint-Quirc;2009;E;Commune;09170;0,00;0;0,000000;0,00;0;0,000000;39,43;10;0,500000;623,89;122;0,500000;10,38;1;0,500000
Régie municipale d’électricité de Mazères;2009;E;Commune;09185;397,00;95;1,000000;7789,00;14;1,000000;2767,00;170;1,000000;9533,00;1685;1,000000;557,00;93;1,000000
Régie municipale d’électricité de Mercus et Garrabet;2009;E;Commune;09188;0,00;0;0,000000;0,00;0;0,000000;508,00;68;0,500000;2185,00;608;0,500000;462,00;56;0,500000
Régie municipale d’électricité de Mérens Les Vals;2009;E;Commune;09189;0,00;0;0,000000;0,00;0;0,000000;78,00;19;1,000000;689,00;214;1,000000;302,00;31;1,000000
Régie municipale d’électricité de Quié;2009;E;Commune;09240;0,00;0;0,000000;0,00;0;0,000000;10,00;2;1,000000;718,00;172;1,000000;418,00;7;1,000000
Régie municipale d’électricité de Saint-Quirc;2009;E;Commune;09275;48,46;4;0,500000;0,00;0;0,000000;57,70;11;0,500000;768,28;158;0,500000;13,95;4;0,500000
Régie municipale d’électricité de Saverdun;2009;E;Commune;09282;1131,95;55;1,000000;8050,44;14;1,000000;4601,97;231;1,000000;9751,48;2062;1,000000;394,52;80;1,000000
Régie municipale d’électricité de Tarascon sur Ariège;2009;E;Commune;09306;0,00;0;0,000000;2628,00;6;1,000000;4891,00;233;0,500000;6608,00;1701;0,500000;1950,00;192;0,500000
