DEP/REG/ANNEE/SUPER_PLOMBE/SUPER_SANS_PLOMB/SUPER_SANS_PLOMB_95/SUPER_SANS_PLOMB_95_E10/SUPER_SANS_PLOMB_98/GAZOLE/FOD/FOL/GNR/GPL/CARBUREACTEUR/Unnamed: 14/SUPER_ETH_E85/Unnamed: 15
99/52/2010.0/0.0/483849,7/342443,3549/47938,46718/93467,88275/2234124.0/964004.0/65004.0/0.0/198416.0////
22/53/2010.0/0.0/73330,3/57097,40777/2238,670477/13993,9479/369149.0/118182.0/13054.0/0.0/////
29/53/2010.0/0.0/111153,2/83942,81811/5695,570267/21514,52837/474794.0/203598.0/12377.0/0.0/////
35/53/2010.0/0.0/125790,4/81748,25096/17587,62915/26454,14568/609631.0/477424.0/14773.0/0.0/////
56/53/2010.0/0.0/93780,94/72777,31385/3872,162109/17131,24206/441373.0/118673.0/13578.0/0.0/////
99/53/2010.0/0.0/404054,8/295565,7907/29394,032/79093,86402/1894947.0/917877.0/53782.0/0.0/199102.0////
16/75/2010.0/0.0/56467,18/43963,4164/2439,81342/10064,25455/294547.0/79115.0/23872.0/0.0/////
17/75/2010.0/0.0/97379,56/64341,42923/11461,2746/21577,20142/429386.0/111602.0/12504.0/0.0/////
19/75/2010.0/0.0/35404,56/26619,63463/1986,752/6797,927783/168702.0/50235.0/3510.0/0.0/////
23/75/2010.0/0.0/14819,24/10774,18431/672,3075174/3372,761531/72403.0/43591.0/1075.0/0.0/////
24/75/2010.0/0.0/48780,8/38760,13603/1668,279291/8352,462094/215000.0/84279.0/451.0/0.0/////
33/75/2010.0/0.0/206892,2/127857,9419/40714,36642/38320,0166/832276.0/172572.0/26465.0/0.0/////
40/75/2010.0/0.0/54509,14/42477,14097/3477,553394/8554,541525/255304.0/68637.0/24225.0/0.0/////
47/75/2010.0/0.0/45111,88/36119,0728/2472,671756/6520,25815/230665.0/578579.0/856.0/0.0/////
64/75/2010.0/0.0/69497,84/52045,85304/6504,554707/10947,25488/281621.0/66979.0/4053.0/0.0/////
79/75/2010.0/0.0/46873,82/33269,76383/4594,376011/9009,845379/283293.0/106580.0/22417.0/0.0/////
86/75/2010.0/0.0/56410,94/42161,67774/2937,137563/11312,19436/271411.0/106125.0/4099.0/0.0/////
87/75/2010.0/0.0/51271,64/38264,03822/3263,69452/9743,774285/206119.0/67365.0/1217.0/0.0/////
99/75/2010.0/0.0/783418,8/556654,2891/82192,78121/144572,4926/3540727.0/1535659.0/124744.0/0.0/360776.0////
9/76/2010.0/0.0/17132,48/14022,32015/181,30148/2929,068274/72721.0/12005.0/1630.0/0.0/////
11/76/2010.0/0.0/49555,58/40327,03861/1368,27998/7860,381116/259978.0/53798.0/5810.0/0.0/////
12/76/2010.0/0.0/30651,54/23913,25574/1907,73213/4830,781351/159058.0/65470.0/2109.0/0.0/////
30/76/2010.0/0.0/97709,6/76473,57003/5353,34352/15882,89648/366926.0/89588.0/2843.0/0.0/////
31/76/2010.0/0.0/159880,7/133855,6181/3971,20778/22053,51684/658904.0/73570.0/2762.0/0.0/////
32/76/2010.0/0.0/20545,36/17109,53493/359,5525506/3076,514621/107530.0/44314.0/785.0/0.0/////
34/76/2010.0/0.0/165026,7/116593,9797/21186,41265/27246,39862/649296.0/204398.0/6823.0/0.0/////
46/76/2010.0/0.0/26123,48/19923,84441/1611,72/4588,081123/110003.0/30064.0/8143.0/0.0/////
