DEP;REG;ANNEE;SUPER_PLOMBE;SUPER_SANS_PLOMB;SUPER_SANS_PLOMB_95;SUPER_SANS_PLOMB_95_E10;SUPER_SANS_PLOMB_98;GAZOLE;FOD;FOL;GNR;GPL;CARBUREACTEUR
75;11;2014;0;85498,12;9389,0941;45247,522;30861,17756;172845;9477;18804;94839;;
77;11;2014;0;165584,6;64956,20396;61190,9811;39437,1345;738220;68082;2272;36126;;
78;11;2014;0;182196,9;52291,37554;82534,70416;47370,77144;587246;60585;359;13932;;
91;11;2014;0;161115;51350,19174;72620,5475;37144,02768;560187;51189;542;18041;;
92;11;2014;0;114028,1;8726,31754;68432,33472;36869,30194;269147;112770;4261;29710;;
93;11;2014;0;101263,8;19889,23678;55938,88734;25435,82908;374008;23253;0;1257;;
94;11;2014;0;114355,2;23240,25944;60680,77478;30433,79574;456896;78785;28;27219;;
95;11;2014;0;147030,6;31530,61634;77647,5007;37852,56732;564776;52763;1042;30414;;
99;11;2014;0;1071072;261373,2954;524293,2523;285404,6053;3723325;456904;27308;251538;74288;
18;24;2014;0;34865,84;18978,83994;9103,21138;6784,01734;178777;36107;0;24106;;
28;24;2014;0;55938,08;23701,32754;19252,95;12983,80764;296195;39751;190;27021;;
36;24;2014;0;25208,1;14397,73008;5614,78996;5195,79308;141105;25735;25;22385;;
37;24;2014;0;72025,68;41437,58612;16299,57078;14288,83094;334022;49249;1240;48243;;
41;24;2014;0;41230,58;21745,84424;11469,04762;8015,37438;197400;35094;1104;22904;;
45;24;2014;0;82403,44;32259,69764;31009,04436;19134,4871;437406;198300;3614;142173;;
99;24;2014;0;311671,7;152521,0256;92748,6141;66402,31048;1584905;384236;6173;286832;102513;
21;27;2014;0;67467,28;32655,81964;21456,36512;13354,96204;355088;61340;3332;47901;;
25;27;2014;0;58067,8;39866,17318;9935,97408;8265,82812;312243;102946;3517;32873;;
39;27;2014;0;30694,46;19098,56676;6362,44008;5233,29258;184680;41889;1168;14944;;
