DEP;REG;ANNEE;SUPER_PLOMBE;SUPER_SANS_PLOMB;SUPER_SANS_PLOMB_95;SUPER_SANS_PLOMB_95_E10;SUPER_SANS_PLOMB_98;GAZOLE;FOD;FOL;GNR;GPL;CARBUREACTEUR
75;11;2013;0;91137,66;11908,82;48147,36;31081,48;196485;10437;26485;115698;;
77;11;2013;0;163908,5;68352,32;59355,4;36200,8;749397;94862;2337;31049;;
78;11;2013;0;183383,8;56538,96;81710,8;45134,08;604638;80341;594;14021;;
91;11;2013;0;161011,4;56448,68;69955,16;34607,58;560631;61404;502;17578;;
92;11;2013;0;115965,4;9819,06;70063,94;36082,4;247349;118803;4222;15486;;
93;11;2013;0;104320,8;22320,62;56557,46;25442,68;347013;26052;0;1380;;
94;11;2013;0;114037;25789;59234,78;29013,18;415366;109654;1529;27973;;
95;11;2013;0;142893,3;35858,18;72545,9;34489,18;538013;65167;1849;37711;;
99;11;2013;0;1076658;287035,64;517570,8;272051,38;3658892;566720;37518;260896;84633;
18;24;2013;0;36035,78;20128,74;9198,2;6708,84;183768;44947;0;22343;;
28;24;2013;0;55687,22;23832,44;19587,06;12267,72;295662;47773;655;25458;;
36;24;2013;0;26062,8;15237,34;5743,14;5082,32;143273;30452;27;22010;;
37;24;2013;0;72235,1;43039,88;15594,02;13601,2;335377;61126;1312;45077;;
41;24;2013;0;41684,94;23136,1;10848,4;7700,44;201324;41154;1456;20614;;
45;24;2013;0;81389,64;32608,84;30882,42;17898,38;432239;276318;16243;147008;;
99;24;2013;0;313095,5;157983,34;91853,24;63258,9;1591643;501770;19693;282510;121601;
21;27;2013;0;67355,54;34497,32;20561,64;12296,58;357098;76448;2474;44033;;
25;27;2013;0;58070,76;40963,44;9052,42;8054,9;328895;121265;5685;33665;;
39;27;2013;0;30283,02;20509,1;4729,34;5044,58;182516;49847;1253;14825;;
58;27;2013;0;26821,3;16695,88;5054,2;5071,22;112105;35594;1094;23521;;
70;27;2013;0;21965,42;17146,54;2030,56;2788,32;140541;42980;3056;15733;;
71;27;2013;0;75275,76;43605,98;19018,74;12651,04;422119;86422;16753;44148;;
89;27;2013;0;47559,06;24260,9;13056,56;10241,6;244759;37649;825;25236;;
90;27;2013;0;13195,68;7670,84;4001,92;1522,92;59019;15420;1312;3248;;
99;27;2013;0;340526,5;205350;77505,38;57671,16;1847052;465625;32452;204409;119861;
14;28;2013;0;85589,88;44072,92;24624,98;16891,98;416431;93277;4908;69104;;
27;28;2013;0;65000,86;30684,84;19445,72;14870,3;337661;50008;3797;26838;;
50;28;2013;0;54313,04;37000,74;9167,12;8145,18;297914;90959;18978;58109;;
61;28;2013;0;26688,1;16560,46;5156,32;4971,32;163162;51452;5048;30547;;
76;28;2013;0;129758,3;60359,58;41309,76;28088,92;699135;106385;43004;69920;;
99;28;2013;0;361350,1;188678,54;99703,9;72967,7;1914303;392081;75735;254518;139656;
2;32;2013;0;48615,78;26279,62;12157,46;10178,7;304298;69116;5048;33055;;
59;32;2013;0;194316,6;79777,18;67943,84;46595,58;1054252;353365;13902;227998;;
60;32;2013;0;79538,9;38135,9;25581,8;15821,2;426669;68456;14040;41407;;
62;32;2013;0;123523,8;57130,22;34692,68;31700,86;931630;90220;2436;82234;;
80;32;2013;0;55145,54;27019,62;15206,26;12919,66;343392;69024;29759;46212;;
99;32;2013;0;501140,6;228342,54;155582,04;117216;3060241;650181;65185;430906;148003;
8;44;2013;0;22299,16;13684,82;4304,58;4309,76;132440;33820;801;12889;;
10;44;2013;0;32878,2;14691,22;11297,58;6889,4;205020;31132;367;29914;;
51;44;2013;0;57827,3;26537,14;20076,94;11213,22;420326;101863;45720;94051;;
52;44;2013;0;23341,82;9902,68;8772,7;4666,44;159515;29017;1608;17583;;
54;44;2013;0;64051,44;32323,2;20691,88;11036,36;372344;322082;2089;209743;;
55;44;2013;0;15725;10172,04;2678,8;2874,16;105354;27656;8314;14029;;
57;44;2013;0;88195,42;45984,34;27114,34;15096,74;467340;138414;8387;45385;;
67;44;2013;0;125903,6;76665,48;23882,76;25355,36;585413;204869;4335;68239;;
68;44;2013;0;87537,56;55743,46;17799,96;13994,14;419848;116698;11752;26089;;
88;44;2013;0;39282,16;24724,14;7846,96;6711,06;225699;51218;3767;22371;;
99;44;2013;0;557041,7;310428,52;144466,5;102146,64;3093299;1056769;87140;540293;148075;
44;52;2013;0;157404,7;85259,84;45806,74;26338,08;739546;285250;11642;257043;;
49;52;2013;0;76709,88;50772,14;12936,68;13001,06;429163;51302;11831;34644;;
53;52;2013;0;27454,74;18860,38;3858,36;4736;207407;28946;11314;32627;;
72;52;2013;0;69887,82;42169,64;14420,38;13297,8;369164;43997;2048;23039;;
85;52;2013;0;95188,42;61852,9;16940,82;16394,7;538382;105061;2559;95565;;
99;52;2013;0;426645,5;258914,9;93962,98;73767,64;2283662;514556;39394;442918;177267;
22;53;2013;0;63987,06;42117,84;11661,66;10207,56;354344;63750;9502;40296;;
29;53;2013;0;97345,52;68099,98;15251,4;13994,14;490265;126643;7934;41185;;
35;53;2013;0;108158,4;53449,46;33859,44;20849,5;628009;254843;7144;190646;;
56;53;2013;0;83147,88;58018,22;13237,86;11891,8;437457;62895;8363;45466;;
99;53;2013;0;352638,9;221685,5;74010,36;56943;1910075;508131;32943;317593;162480;
16;75;2013;0;43125,72;29543,02;5955,52;7627,18;301545;38282;17889;42240;;
17;75;2013;0;89525,94;43141,26;25865,22;20519,46;449596;58066;7250;37705;;
19;75;2013;0;30411,04;18724,96;6526,06;5160,02;163307;35259;2752;14264;;
23;75;2013;0;12312,12;9395,78;1067,82;1848,52;69784;31628;0;15755;;
24;75;2013;0;44049,98;32033,86;5814,18;6201,94;222438;61469;188;27310;;
33;75;2013;0;180408,3;94352,22;54338,94;31717,14;845794;77556;7944;92922;;
40;75;2013;0;49924,84;31538,06;11326,44;7060,34;270634;27693;10038;44975;;
47;75;2013;0;34836,24;24212,06;4761,16;5863,02;237006;299000;2024;186807;;
64;75;2013;0;69137,46;41931,36;17307,12;9898,98;313845;27771;737;27735;;
79;75;2013;0;41384,5;27150,6;7693,04;6540,86;294081;59506;19741;39988;;
86;75;2013;0;49527,46;33724,02;7414,8;8388,64;291961;73615;3354;62475;;
87;75;2013;0;44897,28;30311,14;8124,46;6461,68;203445;45950;2012;20317;;
99;75;2013;0;689540,9;416058,34;156194,76;117287,78;3663436;835795;73929;612493;316942;
9;76;2013;0;14923,58;11790,42;1531,8;1601,36;72798;8505;1486;4797;;
11;76;2013;0;43104,26;28198,44;8859,28;6046,54;267187;22636;658;20801;;
12;76;2013;0;26238,92;18689,44;4083,32;3466,16;158189;39537;371;22935;;
30;76;2013;0;83927,1;52403,84;20546,84;10976,42;370336;58509;861;24475;;
31;76;2013;0;141113,6;70058,76;51424,82;19629,98;664416;42428;513;37998;;
32;76;2013;0;18021,96;12879,7;2733,56;2408,7;106647;18905;284;27376;;
34;76;2013;0;140833,8;75532,54;43601,54;21699,76;672727;132075;3053;87288;;
46;76;2013;0;22387,96;14809,62;4030,78;3547,56;104911;19851;8432;8111;;
48;76;2013;0;9202,64;4667,18;3056,2;1479,26;52300;27316;1985;6388;;
65;76;2013;0;24175,8;17748,16;2910,42;3517,22;115829;15478;233;11039;;
66;76;2013;0;54171,7;37603,1;10492,46;6076,14;244833;25985;1282;14752;;
81;76;2013;0;38149,96;28437,46;5546,3;4166,2;202027;33142;6081;22576;;
82;76;2013;0;24261,64;14172,48;6338,1;3751,06;165008;20485;259;12817;;
99;76;2013;0;640512,9;386991,14;165155,42;88366,36;3197208;464852;25498;301353;208101;
1;84;2013;0;74798,46;48559,54;15468,22;10770,7;390338;79974;11247;31930;;
3;84;2013;0;40535,72;28111,12;5856,36;6568,24;224147;57907;1905;38265;;
7;84;2013;0;32813,82;24414,82;4136,6;4262,4;136627;30443;4759;5307;;
15;84;2013;0;14296,8;10428,08;2225,92;1642,8;80769;28133;9738;13122;;
26;84;2013;0;73214,86;36908,98;24371,16;11934,72;456843;77882;3273;29385;;
38;84;2013;0;135038,9;76890,44;37712,62;20435,84;628690;99779;6160;31162;;
42;84;2013;0;77865,02;47511,7;17893,94;12459,38;425400;367828;9670;105441;;
43;84;2013;0;21611,7;13491,68;5419,76;2700,26;122040;47928;984;18176;;
63;84;2013;0;78035,22;37161,32;25982,14;14891,76;381626;83115;4184;41614;;
69;84;2013;0;176105,9;74775,52;72860,4;28470,02;893648;276044;8146;103628;;
73;84;2013;0;57572;33921,6;15173,7;8476,7;343503;62101;15050;18789;;
74;84;2013;0;103346,2;66717,66;21569,52;15059;456582;94091;1235;26594;;
99;84;2013;0;885234,6;498892,46;248670,34;137671,82;4540213;1305225;76351;463413;273301;
4;93;2013;0;22837,88;12564,46;5963,66;4309,76;99824;23831;407;7786;;
5;93;2013;0;19370,98;10192,76;5811,22;3367;91445;35238;377;7694;;
6;93;2013;0;187254,8;59885,24;81935,76;45433,78;459825;89613;1497;19995;;
13;93;2013;0;233279,1;105529,92;91814,76;35934,4;1018633;159719;157558;76780;;
