DEP;REG;ANNEE;SUPER_SANS_PLOMB;SUPER_SANS_PLOMB_95;SUPER_SANS_PLOMB_95_E10;SUPER_SANS_PLOMB_98;SUPER_ETH_E85;GAZOLE;FOD;FOL;GNR;GPL;CARBUREACTEUR
46;76;2019;  26636,48;   9468,300;  10919,514;   5507,746;   740,9248;  100464,44;  21435,960;  7160;  10757,973;  15333;
48;76;2019;  11234,29;   4428,752;   4258,182;   2131,422;   415,9360;   56627,78;  21512,010;   556;   7742,203;   5660;
65;76;2019;  29739,92;  14227,092;  10049,422;   4439,556;  1023,8544;  119996,93;  19196,710;   301;  18902,730;  10364;
66;76;2019;  65487,29;  24370,346;  27878,168;   9569,384;  3669,3936;  227185,63;  19718,920;  1539;  17024,481;  12330;
81;76;2019;  43204,41;  16770,546;  16502,370;   6732,742;  3198,7496;  177044,55;  32311,955;  4017;  25699,547;  13031;
82;76;2019;  31376,98;   9365,070;  13888,912;   6449,322;  1673,6768;  172278,79;  22348,560;   104;  24303,260;   9433;
99;76;2019; 801918,72; 252914,758; 370572,982; 141303,962; 37127,0216; 3120196,69; 408217,810; 16465; 373842,442; 162094;
1;84;2019; 100125,67;  43851,586;  36820,698;  16787,048;  2666,3360;  381570,95;  68096,015;  4305;  31511,647;  21036;
3;84;2019;  47081,86;  20503,772;  16237,302;   9533,050;   807,7384;  234416,06;  39445,445;   957;  37143,221;  12231;
7;84;2019;  40223,40;  15899,418;  16018,706;   7302,912;  1002,3592;  133148,93;  34348,405;  1083;  10450,526;  12598;
15;84;2019;  17617,48;   8479,660;   6064,078;   2674,952;   398,7864;   80589,02;  24605,555;  5623;  16922,110;  10084;
26;84;2019;  91009,78;  24745,156;  45665,252;  17450,754;  3148,6200;  406074,61;  54539,680;   699;  37855,059;  18064;
38;84;2019; 174237,82;  56796,258;  81107,182;  32182,008;  4152,3760;  638346,06; 100493,315;  3556;  40345,112;  36256;
42;84;2019;  90304,63;  30862,810;  40254,446;  16429,628;  2757,7488;  378074,47;  56697,810; 12311;  27391,757;  16603;
43;84;2019;  29711,88;  10185,656;  13553,100;   5357,600;   615,5232;  143095,29;  42949,660;     0;  16800,701;   8424;
63;84;2019;  98310,37;  23844,058;  48411,096;  20753,892;  5301,3216;  374784,07;  66537,835;  2229;  46048,997;  16774;
69;84;2019; 222900,80;  51075,170; 123674,720;  42347,980;  5802,9280;  870415,86; 153556,780;  7289; 136310,076;  28938;
73;84;2019;  76186,85;  29672,890;  30679,882;  13693,404;  2140,6736;  343905,86;  73092,500;  2795;  32240,352;  19931;
74;84;2019; 145063,81;  47825,016;  68504,020;  26005,968;  2728,8040;  453885,96; 123650,540;  1174;  38137,122;  25629;
99;84;2019;1132774,34; 363741,450; 526990,482; 210519,196; 31523,2152; 4438307,15; 838013,540; 42021; 471156,682; 226568;
4;93;2019;  27226,65;   7967,654;  12140,588;   6563,726;   554,6848;   96928,39;  20129,590;   287;   9444,685;  10301;
5;93;2019;  24285,86;   6735,332;  11658,848;   5340,802;   550,8824;   90951,21;  25033,970;   299;  10034,863;   8778;
6;93;2019; 209086,90;  31095,762; 113422,242;  62047,594;  2521,3016;  430622,53;  41456,545;  1101;  14029,503;  16783;
13;93;2019; 288747,19;  53788,010; 163953,882;  60545,986; 10459,3160; 1016568,66; 118495,195; 22013;  81722,702;  28693;
83;93;2019; 203696,64;  48275,676; 100321,578;  48909,782;  6189,6088;  530927,32;  39964,275;  1920;  26343,081;  28259;
84;93;2019;  93434,13;  18628,242;  51423,488;  18374,718;  5007,6832;  351990,08;  49364,055;   699;  23756,418;  15712;
99;93;2019; 846477,39; 166490,676; 452920,626; 201782,608; 25283,4768; 2517988,17; 294443,630; 26319; 165331,253; 108526;
2A;94;2019;  23894,01;  23894,008;      0,000;      0,000;     0,0000;   52445,35;   3357,185;   433;   6685,928;  16331;
2B;94;2019;  57650,29;  57650,292;      0,000;      0,000;     0,0000;  108751,40;   8453,380;     0;   8062,259;   6148;
99;94;2019;  81544,30;  81544,300;      0,000;      0,000;     0,0000;  161196,75;  11810,565;   433;  14748,188;  22479;
FR;FR;2019;8425666,47;2342648,044;4003061,968;1818306,022;261650,4384;32294803,60;5300734,010;214858;4260519,197;1676043;7124624
