DEP;REG;ANNEE;SUPER_PLOMBE;SUPER_SANS_PLOMB;SUPER_SANS_PLOMB_95;SUPER_SANS_PLOMB_95_E10;SUPER_SANS_PLOMB_98;GAZOLE;FOD;FOL;GNR;GPL;CARBUREACTEUR;
73;84;2011;0;60950,1;46945,25845;4360,94015;9643,822721;325327;91280;30041;0;;;
74;84;2011;0;103298,1;81105,61098;5783,874232;16408,94412;419580;119238;4028;0;;;
99;84;2011;0;950857,1;642437,2315;151841,5517;156578,1627;4435746;1765642;179166;0;265719;;
4;93;2011;0;24643,48;20012,56;552,78;4078,14;96575;30927;594;0;;;
5;93;2011;0;20253,06;16277,23758;786,1131;3189,795974;88859;38289;1659;0;;;
6;93;2011;0;198166,1;133766,1237;27034,24174;37365,40801;436204;132782;2334;0;;;
13;93;2011;0;261630,7;195730,1523;29710,4525;36190,61517;1054443;284376;251195;0;;;
83;93;2011;0;182898,4;138421,3987;14918,41938;29558,44255;554863;101533;2564;0;;;
84;93;2011;0;84690,78;68393,76;4798,9;11498,12;376420;85501;7100;0;;;
99;93;2011;0;772282,5;572601,2322;77800,90671;121880,5217;2607364;673408;265446;0;137567;;
2A;94;2011;0;25253,98;25253,98;0;0;62094;13097;0;0;;;
2B;94;2011;0;34469,2;34462,54;6,66;0;93815;50153;0;0;;;
99;94;2011;0;59723,18;59716,52;6,66;0;155909;63250;0;0;33519;;
99;99;2011;;;;;;;;;;12900;;
FR;FR;2011;0;7515154;4736866,584;1351563,448;1426723,916;33224546;11481306;1216243;0;2083819;6431271,2;
