DEP;REG;ANNEE;SUPER_PLOMBE;SUPER_SANS_PLOMB;SUPER_SANS_PLOMB_95;SUPER_SANS_PLOMB_95_E10;SUPER_SANS_PLOMB_98;GAZOLE;FOD;FOL;GNR;GPL;CARBUREACTEUR
75;11;2015;0;82239,12744;8123,54684;42915,19;31200,3906;165372,2209;7039,69331;13367;45911,3035;;
77;11;2015;0;167160,4589;61015,62922;63663,01104;42481,81862;739372,2588;81750,01257;1280;33632,75458;;
78;11;2015;0;182592,2206;50669,59598;81724,19104;50198,43354;553543,4229;64186,0572;126;14389,11245;;
91;11;2015;0;163258,279;49618,45854;73227,6879;40412,1326;557556,0204;40934,03165;641;8979,7403;;
92;11;2015;0;114572,2886;8149,6015;68360,94692;38061,74016;280886,8173;137862,595;4050;34100,46814;;
93;11;2015;0;101497,5727;18308,47098;56588,62806;26600,47364;374850,3276;24526,125;370;36143,50022;;
94;11;2015;0;116014,7306;23264,96212;61138,49882;31611,26968;460237,4126;76945,70085;56;24321,01244;;
95;11;2015;0;149268,8114;29576,40954;78797,6013;40894,80056;573043,608;65123,15037;0;38398,71915;;
99;11;2015;0;1076603,489;248726,6747;526415,7551;301461,0594;3704862,088;498367,3659;19890;235876,6108;74547;
18;24;2015;0;34708,59148;18314,41392;9321,85844;7072,31912;190319,8742;37986,13338;0;24805,08532;;
28;24;2015;0;56459,17394;21886,64108;20503,56628;14068,96658;306670,4892;41420,20916;485;28152,8742;;
36;24;2015;0;25250,32366;13770,21304;5947,00038;5533,11024;143038,0693;26551,34326;0;23318,90556;;
37;24;2015;0;73170,27648;39709,75346;18309,82148;15150,70154;333660,7136;48730,51625;877;40664,71209;;
41;24;2015;0;40591,96814;20648,69212;11711,36506;8231,91096;200058,7931;34971,32379;1148,16;23345,29072;;
45;24;2015;0;82776,21574;30097,92602;32340,90672;20337,383;426705,8491;194609,6508;787,76;129914,4603;;
99;24;2015;0;312956,5494;144427,6396;98134,51836;70394,39144;1600453,789;384269,1766;3297,92;270201,3282;102422;
21;27;2015;0;68715,2937;29379,23432;24916,34538;14419,714;359995,0204;65384,11425;2118,691;46064,08344;;
25;27;2015;0;62126,52018;40838,8832;11717,54702;9570,08996;319624,0806;105834,1122;1556,64;31739,934;;
39;27;2015;0;32072,86836;18829,05358;7539,26726;5704,54752;187928,6604;43760,61073;954;14335,89206;;
58;27;2015;0;26890,41526;15696,73274;5682,09666;5511,58586;118433,1986;29857,6187;1317,405;24073,27211;;
70;27;2015;0;22262,87632;15826,83584;3256,62308;3179,4174;150543,7474;34871,37212;3177;16570,04144;;
71;27;2015;0;74595,91312;38076,62452;22320,22484;14199,06376;425842,1619;76218,59525;15464;46417,09556;;
89;27;2015;0;47435,13442;22083,06816;13793,47642;11558,58984;248784,0433;28386,90888;617,175;17498,15312;;
90;27;2015;0;14746,35222;8245,78152;4643,76418;1856,80652;60110,22299;13201,435;334,548;3179,60485;;
99;27;2015;0;348845,3736;188976,2139;93869,34484;65999,81486;1871261,136;397514,7671;25539,459;199878,0766;104203;
14;28;2015;0;88433,85096;41521,12398;27448,04744;19464,67954;430509,0078;79494,88164;3705,24;68784,68395;;
27;28;2015;0;66096,49734;26092,5961;22575,09934;17428,8019;350463,0262;47902,99508;6097;31431,31549;;
50;28;2015;0;54733,98012;35442,42654;10529,60578;8761,9478;306261,3902;72590,02413;18564,22;56884,97787;;
61;28;2015;0;25756,77966;14564,4062;5779,7108;5412,66266;165703,002;42811,96472;4382;31207,81939;;
76;28;2015;0;133721,8413;53425,7615;48846,8672;31449,21264;733861,1202;93798,08932;17805,9;72042,51577;;
99;28;2015;0;368742,9494;171046,3143;115179,3306;82517,30454;1986797,546;336597,9549;50554,36;260351,3125;115939;
2;32;2015;0;48627,46978;21703,7745;15353,8493;11569,84598;318791,75;58530,24405;1971,42;34284,62572;;
59;32;2015;0;202537,2319;70659,7917;80943,06702;50934,37316;1109449,058;304362,6034;4040;240792,7025;;
60;32;2015;0;80368,03226;33398,7641;28638,14652;18331,12164;442057,3275;50833,47705;7366;37108,75187;;
62;32;2015;0;125670,0138;51446,56268;40393,4365;33830,01464;933761,1088;77621,94928;7177;78119,18986;;
80;32;2015;0;56015,51804;19499,3996;21558,90692;14957,21152;356873,0757;56491,59536;30787;44735,8406;;
99;32;2015;0;513218,2658;196708,2926;186887,4063;129622,5669;3160932,319;547839,8691;51341,42;435041,1105;124104;
8;44;2015;0;22004,12348;11612,13698;5831,34726;4560,63924;131897,2129;34564,56276;782;14866,24815;;
10;44;2015;0;32714,0606;12646,97814;12437,49006;7629,5924;206132,1447;26736,85372;506;30367,12052;;
51;44;2015;0;58406,02218;23692,23886;22153,861;12559,92232;429495,3011;81438,29038;24433;96001,72688;;
52;44;2015;0;23302,60444;8268,3937;9905,12126;5129,08948;172520,5056;24979,89254;1442;17982,84474;;
54;44;2015;0;66345,19654;28991,78586;24898,04814;12455,36254;375419,2515;245628,1676;968;214212,3504;;
55;44;2015;0;15352,8466;9623,76956;2791,576;2937,50104;104548,1832;23670,56504;1611;14053,8491;;
57;44;2015;0;88365,25962;38974,17866;33184,40904;16206,67192;467149,0557;125070,8422;9250;47576,96985;;
67;44;2015;0;124020,7499;62456,65934;31754,13926;29809,95132;576297,3717;179027,2288;4860;58876,32595;;
68;44;2015;0;93403,3735;49827,90148;25864,27206;17711,19996;431328,3406;93910,77852;6884,53;29202,51011;;
88;44;2015;0;38999,5799;21334,40868;9856,03484;7809,13638;224417,2035;54396,36716;1056,542;26663,64335;;
99;44;2015;0;562913,8168;267428,4513;178676,2989;116809,0666;3119204,571;889423,5487;51793,072;549803,589;124023;
44;52;2015;0;158586,9765;62059,4562;63321,75042;33205,76988;787105,9882;396284,1834;12056,46;361504,5176;;
49;52;2015;0;77201,80536;35001,73656;24898,98868;17301,08012;428877,6173;45583,52331;5551,84;35220,14553;;
53;52;2015;0;27925,3985;13401,84696;8450,59946;6072,95208;202368,0867;33974,06662;8552,4;47808,9746;;
72;52;2015;0;69944,49438;36320,70146;18757,55108;14866,24184;368312,8905;50452,10658;1885;24834,07485;;
85;52;2015;0;93833,4134;51010,38374;24009,48056;18813,5491;523923,7159;86484,12;1253;83208,00885;;
99;52;2015;0;427492,0881;197794,1249;139438,3702;90259,59302;2310588,299;612777,9999;29298,7;552575,7214;152578;
22;53;2015;0;65208,63128;39036,8056;14346,65454;11825,17114;373411,7462;56043,77493;10262,48;41082,43754;;
29;53;2015;0;99095,61852;64892,48182;19493,76302;14709,37368;476664,1413;123187,3102;6120;48046,41687;;
35;53;2015;0;110284,8041;44409,31364;43107,51452;22767,9759;641437,3516;50171,87078;5351,56;61117,14406;;
56;53;2015;0;85076,32592;52130,58094;18906,9482;14038,79678;443251,739;53785,09585;3148,22;43722,95136;;
99;53;2015;0;359665,3798;200469,182;95854,88028;63341,3175;1934764,978;283188,0517;24882,26;193968,9498;147325;
16;75;2015;0;40911,98262;25578,05042;7038,3953;8295,5369;298519,5265;33466,98635;19414;34601,81884;;
17;75;2015;0;99940,12724;35606,34986;37215,21642;27118,56096;485295,0319;59059,98638;3166,778;41693,61663;;
19;75;2015;0;30481,1883;16007,62376;8387,55368;6086,01086;165170,1735;30691,80608;1425,74;16697,08001;;
23;75;2015;0;18840,0078;12584,9358;2498,59742;3756,47458;90812,16347;29491,09657;885;18087,32161;;
24;75;2015;0;41676,2524;27055,05268;7942,62128;6678,57844;218225,2502;56186,6281;194;29737,93466;;
33;75;2015;0;189918,5291;86798,37844;64500,06056;38620,09014;859248,2054;63125,02957;5375,859;80376,1122;;
40;75;2015;0;51445,76496;29524,16036;13976,33412;7945,27048;271243,9802;19211,52877;2942,415;33716,64954;;
47;75;2015;0;33488,83838;21067,87622;6337,3637;6083,59846;236538,314;241336,9847;720,536;173976,2204;;
64;75;2015;0;73125,37846;40583,57506;20419,89226;12121,91114;324300,1549;24724,7;793,675;33304,32403;;
79;75;2015;0;41728,53858;23964,13706;10094,98972;7669,4118;291114,7482;49916,67317;18903;41441,83407;;
86;75;2015;0;46772,64646;28005,11722;9703,55044;9063,9788;284308,3033;61629,05424;3250;50742,13504;;
87;75;2015;0;40570,54736;24891,62716;8972,60508;6706,31512;193246,2853;40586,25584;1356;26615,62166;;
99;75;2015;0;708899,8017;371666,884;197087,18;140145,7377;3718022,137;709426,7297;58427,003;580990,6687;286020;
9;76;2015;0;14549,0253;10866,59068;2017,78242;1664,6522;70365,12185;9679,475;1300,377;7388,42903;;
11;76;2015;0;43614,73124;25247,46134;11413,27456;6953,99534;276926,6169;20766,72;811,399;28983,48627;;
12;76;2015;0;25788,46424;16961,67542;4794,98318;4031,80564;156703,9699;34933,99761;0;24418,45026;;
30;76;2015;0;83466,21838;48394,47264;23267,47072;11804,27502;382092,7953;51837,55928;1486;33437,48482;;
31;76;2015;0;144479,3886;63005,2169;56749,527;24724,64468;660439,0633;35760,41183;609,4;37345,623;;
32;76;2015;0;16936,158;11015,19378;3376,5682;2544,39602;98285,38258;16997,24091;204;30283,07526;;
34;76;2015;0;142870,1816;70626,42288;46751,83396;25491,92478;686905,2183;105605,3943;2676,68;90305,75267;;
46;76;2015;0;21850,7422;12777,43718;5074,97994;3998,32508;101668,1563;19042,07331;8339,629;8256,70545;;
48;76;2015;0;8721,65628;4021,61806;3160,07232;1539,9659;55379,46035;24132,07531;1871;8094,667855;;
65;76;2015;0;23989,37254;15459,60196;4909,27396;3620,49662;115945,595;18016,96917;372,473;15922,63838;;
66;76;2015;0;55297,3436;35824,45968;12323,0128;7149,87112;262221,0812;19990,165;2006,44;16397,84022;;
81;76;2015;0;37893,6499;26421,66818;6700,5631;4771,41862;219039,1589;32774,85192;3520,897;28151,24428;;
82;76;2015;0;24497,11244;12710,2844;7317,71866;4469,10938;163868,4294;20183,67423;625,178;15705,75548;;
99;76;2015;0;643954,0443;353332,1031;187857,0608;102764,8804;3249840,049;409720,6079;23823,473;344691,153;177925;
1;84;2015;0;83660,69778;50861,13314;19620,26158;13179,30306;414546,5734;72690,85291;15576,042;31444,44472;;
3;84;2015;0;40840,43868;22377,36024;10324,60432;8138,47412;235506,381;46837,17883;521;38091,37402;;
7;84;2015;0;33001,10956;23019,94072;5298,4925;4682,67634;137352,0157;29118,20399;2566,651;6592,955425;;
15;84;2015;0;13589,69818;9549,74514;2267,0529;1772,90014;76432,47149;23127,30947;5818,424;16201,89912;;
26;84;2015;0;74190,79494;33936,09808;26688,91622;13565,78064;453971,9525;63577,30737;3439,016;33642,72532;;
38;84;2015;0;138459,7424;70985,9356;42631,6257;24842,1811;638527,7984;91369,51285;7155,096;39469,29603;;
42;84;2015;0;73089,04594;40961,3273;19836,22244;12291,4962;396069,7701;69851,8743;17967,184;50805,49234;;
43;84;2015;0;21915,20804;13042,574;5553,2116;3319,42244;131767,2911;43908,41475;972;18350,61631;;
63;84;2015;0;79838,01466;30571,96336;31554,377;17711,6743;398839,2171;73428,76268;2904;49160,73355;;
69;84;2015;0;189227,6096;78700,83446;76027,97666;34498,79852;991703,5874;461630,4113;6462;171289,577;;
73;84;2015;0;59707,09536;31409,88312;18222,31352;10074,89872;349691,2757;54418,36504;9944,606;19487,84039;;
74;84;2015;0;117325,4978;63402,58802;34505,95136;19416,95842;475173,769;83721,87161;1387,742;20312,97403;;
99;84;2015;0;924844,953;468819,3832;292531,0058;163494,564;4699582,103;1113680,065;74713,761;494849,9283;237738;
4;93;2015;0;23327,19242;10826,79126;7397,72894;5102,67222;105541,2069;22929,11556;595;9180,83669;;
5;93;2015;0;19728,41406;9230,73558;6530,92624;3966,75224;92630,87697;24761,8462;704;5340,139795;;
6;93;2015;0;186956,1515;51966,37938;81718,25328;53271,51886;465980,7692;84776,7882;1231;16622,18635;;
13;93;2015;0;237167,3012;92879,61778;99435,51236;44852,17108;1048783,251;136381,9843;95511;74406,18117;;
83;93;2015;0;169989,2554;75444,81744;57579,95056;36964,4874;573585,553;59490,5519;1371,473;23879,25903;;
84;93;2015;0;80711,55062;33066,51668;32861,39904;14783,6349;398702,5911;59864,94267;3682,104;22658,98001;;
99;93;2015;0;717879,8652;273414,8581;285523,7704;158941,2367;2685224,248;388205,2288;103094,577;152087,583;117429;
2A;94;2015;0;22068,798;22068,798;0;0;60908,073;6911,255;0;4806,093;;
2B;94;2015;0;32953,606;32953,606;0;0;100741,08;19801,73;0;7166,7215;;
99;94;2015;0;55022,404;55022,404;0;0;161649,153;26712,985;0;11972,8145;26792;
99;99;2015;;;;;;;;50000;;11300;
FR;FR;2015;0;7021038,98;3137832,526;2397454,922;1485751,533;34203182;6597724;566655;4282289;1802344;6541881
