DEP;REG;ANNEE;SUPER_PLOMBE;SUPER_SANS_PLOMB;SUPER_SANS_PLOMB_95;SUPER_SANS_PLOMB_95_E10;SUPER_SANS_PLOMB_98;SUPER_ETH_E85;GAZOLE;FOD;FOL;GNR;GPL;CARBUREACTEUR
33;75;2016;0;198020;81060;71866;42297;2797;864473;69027;4619;89273;34417;
40;75;2016;0;53978;29768;15303;8649;259;273676;21809;1692;35384;29852;
47;75;2016;0;36512;23573;6800;5810;329;258806;82276;562;67473;24273;
64;75;2016;0;75894;39789;21824;13567;713;315726;28038;1239;41674;23078;
79;75;2016;0;43068;23322;11157;8222;367;294524;55475;16047;48858;25020;
86;75;2016;0;48582;22394;14990;10761;437;283577;73028;2452;54092;22238;
87;75;2016;0;42674;25418;9615;7406;234;201434;51184;2249;30461;11855;
99;75;2016;0;734730;357328;219106;151250;7045;3748441;626718;55081;537296;273740;
9;76;2016;0;15450;10431;2870;2044;105;76439;12132;1397;9440;7723;
11;76;2016;0;46321;23263;13934;8096;1027;274742;19804;446;29075;10093;
12;76;2016;0;27893;17355;5738;4565;236;167415;41706;0;29028;9263;
30;76;2016;0;86592;47328;25180;12927;1157;378443;51699;1011;28541;17256;
31;76;2016;0;151263;62278;59491;27503;1992;671743;40919;502;42086;23411;
32;76;2016;0;18307;11425;3763;2791;327;104154;27689;150;37676;15842;
34;76;2016;0;147475;65830;52275;27363;2007;676339;105077;5216;89894;19267;
46;76;2016;0;23086;12951;5500;4534;100;105114;27173;8006;11708;15513;
48;76;2016;0;8742;3795;3156;1685;105;52728;20910;1618;7434;5606;
65;76;2016;0;25323;15881;5267;4008;166;123913;18506;335;16464;11417;
66;76;2016;0;57576;33671;14686;8112;1106;269983;20056;976;18747;13232;
81;76;2016;0;39861;25447;8027;5468;919;228161;42762;3958;34425;12958;
82;76;2016;0;26068;12906;7695;5041;426;170990;23408;375;21012;9906;
99;76;2016;0;673956;342562;207583;114138;9673;3300165;451841;23992;375530;171487;
1;84;2016;0;87403;49842;22304;14865;392;399199;56928;14894;31266;22732;
3;84;2016;0;41635;21462;11305;8868;0;232894;48168;46;36091;14346;
7;84;2016;0;34171;21884;6764;5373;149;138799;38723;1818;9899;13512;
15;84;2016;0;14396;9860;2406;2130;0;77456;24405;4953;14199;9898;
26;84;2016;0;77883;32178;29831;15203;671;450653;73641;3404;37169;18918;
38;84;2016;0;144123;70266;45342;27356;1159;640436;107765;6717;36481;37874;
42;84;2016;0;75957;39479;22307;13292;878;389445;62297;20893;25599;17447;
43;84;2016;0;23939;12541;7377;3914;107;135054;45447;287;19275;8543;
63;84;2016;0;82242;27621;34121;19017;1483;392183;77909;2886;49680;17807;
69;84;2016;0;184050;66251;80705;35617;1477;896383;155704;7483;120108;31952;
73;84;2016;0;62963;31461;19447;11570;486;342377;75148;9074;26301;18442;
74;84;2016;0;123106;60893;39509;21992;712;480955;135536;1559;33302;25745;
99;84;2016;0;951866;443737;321418;179199;7513;4575834;901671;74014;439371;237216;
4;93;2016;0;23806;9463;8592;5661;90;101835;23429;628;9110;10434;
5;93;2016;0;20505;8216;7625;4487;177;91400;28859;771;8362;8278;
6;93;2016;0;190744;50488;82188;57060;1009;447013;41913;1488;9479;18287;
13;93;2016;0;247363;91077;102910;49785;3592;1055263;138348;34774;93411;31076;
83;93;2016;0;174166;72256;59496;40124;2290;571498;56896;1618;21219;28849;
84;93;2016;0;78737;27947;33698;15553;1540;369143;56172;3540;21928;16712;
99;93;2016;0;735322;259447;294509;172669;8697;2636152;345619;42819;163509;113637;
99;94;2016;0;62088;62088;0;0;0;174495;13179;0;5730;24423;
2A;94;2016;0;22411;22411;0;0;0;63767;5142;0;3939;18595;
2B;94;2016;0;39677;39677;0;0;0;110728;8037;0;1791;5827;
99;99;2016;0;;;;;;;;;;11257;
FR;FR;2016;0;7263047;2995504;2587736;1605338;74469;34124063;6222097;404718;4115845;1780660;6477764,8
