DEP;REG;ANNEE;SUPER_PLOMBE;SUPER_SANS_PLOMB;GAZOLE;FOD;FOL;GNR;GPL;CARBUREACTEUR
63;84;2006;1991,34;114610,5;368675;118218;26173;0;
69;84;2006;1921,04;264609,2;876180;470311;38867;0;;
73;84;2006;818,44;78340,84;292914;155330;60404;0;;
74;84;2006;533,54;120040,6;374263;218142;6923;0;;
99;84;2006;14125,12;1239667;4203956;2165005;294071;0;322546;
4;93;2006;134,68;30907,58;86251;42701;13693;0;;
5;93;2006;115,44;27685,62;81064;41252;1135;0;;
6;93;2006;429,94;252561,3;384734;77630;997;0;;
13;93;2006;574,24;342953,7;961742;292360;177202;0;;
83;93;2006;596,44;237686,5;514917;124446;5307;0;;
84;93;2006;461,02;111660,1;364548;151139;12168;0;;
99;93;2006;2311,76;1003455;2393256;729528;210502;0;168189;
2A;94;2006;124,32;35345,36;67761;23946;0;0;;
2B;94;2006;-99;36681,06;74381;55578;509;0;;
99;94;2006;25,32;72026,42;142142;79524;509;0;44725;
99;99;2006;;;;;;;17762;
FR;FR;2006;82630,2;10039189;31890702;14560184;2133689;0;2562606;6370080
