DEP;REG;ANNEE;SUPER_PLOMBE;SUPER_SANS_PLOMB;GAZOLE;FOD;FOL;GNR;GPL;CARBUREACTEUR
74;84;2007;280,46;118192,1;391757;163131;5746;0;;
99;84;2007;2843,08;1193348;4302572;1866677;258772;0;287504;
4;93;2007;0;30223,08;89943;35933;15585;0;;
5;93;2007;0;26300,34;84824;33365;1578;0;;
6;93;2007;0;243961;422688;81780;837;0;;
13;93;2007;34,04;333412,2;1054706;254774;135101;0;;
83;93;2007;3,7;226953,6;553722;101888;3158;0;;
84;93;2007;0;108777,8;375946;133910;12326;0;;
99;93;2007;37,74;969627,9;2581829;641650;168585;0;139476;
2A;94;2007;107,3;26421,7;52895;15447;0;0;;
2B;94;2007;0;45418,98;96230;56074;751;0;;
99;94;2007;107,3;71840,68;149125;71521;751;0;38520;
99;99;2007;;;;;;;21588;
FR;FR;2007;19307,34;9648930;32958276;12920960;1919603;0;2450163;6573600
