DEP;REG;ANNEE;SUPER_SANS_PLOMB;SUPER_SANS_PLOMB_95;SUPER_SANS_PLOMB_95_E10;SUPER_SANS_PLOMB_98;SUPER_ETH_E85;GAZOLE;FOD;FOL;GNR;GPL;CARBUREACTEUR;;
34;76;2018;162903;54964;72767;31321;3850;674169;101123;632;93042;17702;;;
46;76;2018;24987;12074;7606;4965;342;101571;25493;7495;11573;15177;;;
48;76;2018;10931;4532;3956;2227;216;50278;20331;598;7300;5690;;;
65;76;2018;28193;14792;8526;4499;376;124316;23246;222;18467;10608;;;
66;76;2018;61289;28777;21680;9034;1798;232754;23437;1020;16724;12808;;;
81;76;2018;40141;19598;12526;6318;1699;171349;38731;5368;30094;13423;;;
82;76;2018;29385;11324;11170;6004;887;176715;23810;51;22627;9529;;;
99;76;2018;736242;291938;293044;132164;19096;3136543;444385;17118;368513;167832;;;
1;84;2018;92499;47850;27678;15762;1208;382880;69690;7493;31217;20420;;;
3;84;2018;44690;20948;13996;9502;244;233281;41784;53;36764;12370;;;
7;84;2018;38285;18495;12730;6633;427;137008;36103;1822;9926;13108;;;
15;84;2018;16241;9370;4307;2530;33;79472;25250;5781;17512;10946;;;
26;84;2018;82712;26443;38240;16420;1608;424461;67360;2682;38062;19105;;;
38;84;2018;161191;61629;66296;31207;2059;649924;99908;3160;40206;36721;;;
42;84;2018;83645;32041;34151;15886;1566;381421;58442;13369;27936;16946;;;
43;84;2018;26650;10663;10861;4873;254;134727;42842;195;16512;8675;;;
63;84;2018;91558;24350;43080;21046;3083;377939;70154;2114;47770;17436;;;
69;84;2018;205551;56072;105678;40581;3219;889226;141295;7482;127885;29993;;;
73;84;2018;70231;31129;25096;12995;1011;343387;72581;6991;29480;19147;;;
74;84;2018;134183;53775;54393;24535;1480;459776;130244;1167;34955;25841;;;
99;84;2018;1047435;392765;436505;201971;16194;4493502;855655;52309;458225;230708;;;
4;93;2018;25454;8370;10627;6239;218;98107;21462;548;9564;10759;;;
5;93;2018;23021;7000;10433;5238;350;92154;27268;99;10728;8985;;;
6;93;2018;198727;35724;100827;60608;1568;431754;39983;1378;8681;17973;;;
13;93;2018;268959;64859;140239;57658;6203;1042824;130356;26603;88033;29897;;;
83;93;2018;189488;56562;82655;46757;3514;557036;59381;2605;24993;29073;;;
84;93;2018;85890;24244;41015;17762;2869;350672;52673;1058;23185;16566;;;
99;93;2018;791539;196760;385796;194262;14720;2572547;331123;32291;165183;113253;;;
2A;94;2018;23386;23386;0;0;0;51301;2490;0;7164;17127;;;
2B;94;2018;51930;51930;0;0;0;130082;2061;0;3194;6197;;;
99;94;2018;75316;75316;0;0;0;181383;4551;0;10358;23324;;;
FR;FR;2018;7849871;2584113;3359747;1764491;141520;32934260;5642725;260516;4244799;1706757;6814350,8;;
