DEP;REG;ANNEE;SUPER_PLOMBE;SUPER_SANS_PLOMB;SUPER_SANS_PLOMB_95;SUPER_SANS_PLOMB_95_E10;SUPER_SANS_PLOMB_98;GAZOLE;FOD;FOL;GNR;GPL;CARBUREACTEUR
75;11;2009;0;125003;59015,54866;35023,90474;30963,30519;244344;17842;44918;0;;
77;11;2009;0;200743,5;148032,6381;14722,80024;37987,83984;674211;149001;22662;0;;
78;11;2009;0;231408,4;134903,0087;46259,53934;50246,0833;530796;106993;1451;0;;
91;11;2009;0;194053,2;135452,4599;22775,80732;35824,66373;538497;99699;1447;0;;
92;11;2009;0;147521,2;66848,42281;45861,92624;34810,93555;263930;206422;32860;0;;
93;11;2009;0;136286,5;79201,33525;29856,51427;27228,876;390055;69450;2061;0;;
94;11;2009;0;144814,3;91935,24562;23810,70768;29068,67828;370932;155870;11950;0;;
95;11;2009;0;152986,1;88656,75223;33175,05174;31154,50745;429511;59463;1882;0;;
99;11;2009;0;1332816;804045,4113;251486,2516;277284,8893;3442276;864740;119231;0;95267;
18;24;2009;0;47973,46;36733,01834;1339,77074;9900,713704;212623;89109;3335;0;;
28;24;2009;0;70820,96;53326,31064;3116,12002;14378,3255;292881;84411;2194;0;;
36;24;2009;0;33449,48;24373,79438;1690,89926;7384,565773;145362;57174;1413;0;;
37;24;2009;0;89209,96;68314,16229;3678,83378;17216,83398;327039;126170;2535;0;;
41;24;2009;0;52510,4;39485,79558;2183,21164;10841,45387;200466;69320;1161;0;;
45;24;2009;0;102897,7;77836,57571;5242,11412;19819,09378;400750;487995;21932;0;;
99;24;2009;0;396862;300069,6569;17250,94956;79540,9866;1579121;914179;32570;0;129817;
21;27;2009;0;88761,52;69425,78374;2310,57822;17024,87855;356361;123847;4658;0;;
25;27;2009;0;62740,9;51454,56886;746,68146;10539,61246;303625;164250;21505;0;;
39;27;2009;0;38205,46;30209,65538;317,3046;7678,30986;183243;82366;3426;0;;
58;27;2009;0;35655,42;26569,08914;524,07022;8562,400651;115802;72737;1338;0;;
70;27;2009;0;28138,5;22887,91646;133,93778;5116,405261;146429;79333;6176;0;;
71;27;2009;0;96327,28;74106,36527;2276,78316;19944,24123;411677;121266;40830;0;;
89;27;2009;0;62340,56;45927,27555;2359,38344;14053,59577;255135;91626;2922;0;;
90;27;2009;0;14354,52;12061,4092;92,50148;2200,295672;52505;21860;512;0;;
99;27;2009;0;426524,2;332642,0636;8761,24036;85119,73945;1824777;757285;81367;0;129720;
14;28;2009;0;107179,4;82677,85774;2331,59718;22170,20597;462156;253993;8654;0;;
27;28;2009;0;83389,12;61766,93068;2735,44848;18886,97559;340014;100821;8909;0;;
50;28;2009;0;70351,06;55175,05718;1188,69752;13986,9585;308757;133291;19175;0;;
61;28;2009;0;35424,54;27410,00851;365,77904;7648,402688;174808;96037;6592;0;;
76;28;2009;0;163688;113992,8147;10005,33946;39689,49533;695421;201911;109664;0;;
99;28;2009;0;460032,1;341022,6689;16626,86168;102382,0381;1981156;786053;152994;0;152224;
2;32;2009;0;65122,22;45419,13819;4767,460582;14935,42742;307728;121667;18481;0;;
59;32;2009;0;253554,3;161696,4517;26888,66812;64969,4304;934891;694388;150621;0;;
60;32;2009;0;103028;70046,14169;11784,85372;21196,72903;408404;125672;12826;0;;
62;32;2009;0;160314,3;103757,1326;11175,65242;45381,83712;850096;177580;32819;0;;
80;32;2009;0;73058,72;48278,11123;6674,96428;18105,66322;339702;125195;40708;0;;
