DEP;REG;ANNEE;SUPER_SANS_PLOMB;SUPER_SANS_PLOMB_95;SUPER_SANS_PLOMB_95_E10;SUPER_SANS_PLOMB_98;SUPER_ETH_E85;GAZOLE;FOD;FOL;GNR;GPL;CARBUREACTEUR;
69;84;2017;193158;62707;89767;38821;1864;916460;151854;8999;121213;31581;;
73;84;2017;66306;30660;22310;12701;636;353799;77067;9629;28774;18499;;
74;84;2017;130432;54657;50401;24461;913;482620;137268;904;33434;25752;;
99;84;2017;998395;417406;375063;196046;9882;4616375;937859;64466;454979;236721;;
4;93;2017;24890;9066;9538;6147;139;101771;23630;582;9322;10054;;
5;93;2017;21656;7400;9033;5020;204;93038;27879;221;9248;8689;;
6;93;2017;197349;42143;92301;61754;1151;448364;40384;1928;8671;17468;;
13;93;2017;260540;77933;122452;55831;4324;1077915;141826;29937;98277;30526;;
83;93;2017;181904;63624;70117;45767;2396;577551;60772;1739;23198;28506;;
84;93;2017;82419;26336;36771;17385;1928;370177;56601;1701;23138;16431;;
99;93;2017;768759;226502;340212;191904;10142;2668817;351092;36108;171855;111674;;
99;94;2017;65652;65652;0;0;0;177769;13065;0;8571;23770;;
2A;94;2017;24315;24315;0;0;0;61532;6859;0;6651;17654;;
2B;94;2017;41337;41337;0;0;0;116237;6207;0;1920;6116;;
99;99;2017;;;;;;;;;;12905;;
FR;FR;2017; 7 559 156 ; 2 785 979 ; 2 942 538 ; 1 739 124 ; 91 515 ; 34 118 913 ; 6 187 527 ; 343 806 ; 4 252 488 ; 1 768 588 ; 6 576 931 ;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
