OPERATEUR;ANNEE;FILIERE;TYPE;CODE;CONSOA;PDLA;INDQUALA;CONSOI;PDLI;INDQUALI;CONSOT;PDLT;INDQUALT;CONSOR;PDLR;INDQUALR;CONSONA;PDLNA;INDQUALNA
GrDF;2014;G;IRIS;930290904;0,00;0;0,000000;0,00;0;0,000000;613,00;1;1,000000;9577,00;603;0,020000;0,00;0;0,000000
GrDF;2014;G;IRIS;930299999;0,00;0;0,000000;0,00;0;0,000000;210,00;1;1,000000;2012,00;58;0,000000;0,00;0;0,000000
GrDF;2014;G;IRIS;930300101;0,00;0;0,000000;0,00;0;0,000000;23578,00;12;1,000000;9742,00;654;0,600000;0,00;0;0,000000
GrDF;2014;G;IRIS;930300102;0,00;0;0,000000;0,00;0;0,000000;2950,00;6;1,000000;7622,00;633;0,170000;0,00;0;0,000000
GrDF;2014;G;IRIS;930300103;0,00;0;0,000000;182,00;1;1,000000;2076,00;2;1,000000;9214,00;772;0,560000;0,00;0;0,000000
GrDF;2014;G;IRIS;930300104;0,00;0;0,000000;0,00;0;0,000000;2411,00;3;1,000000;6818,00;542;0,640000;2172,00;1;1,000000
GrDF;2014;G;IRIS;930309999;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;-99,00;-99;-99,0000;0,00;0;0,000000
GrDF;2014;G;IRIS;930310101;0,00;0;0,000000;0,00;0;0,000000;564,00;2;1,000000;5794,00;537;0,170000;0,00;0;0,000000
GrDF;2014;G;IRIS;930310102;0,00;0;0,000000;0,00;0;0,000000;734,00;2;1,000000;3165,00;304;0,290000;0,00;0;0,000000
GrDF;2014;G;IRIS;930310103;0,00;0;0,000000;0,00;0;0,000000;150,00;1;1,000000;8178,00;318;0,620000;1375,00;1;1,000000
GrDF;2014;G;IRIS;930310104;0,00;0;0,000000;0,00;0;0,000000;3579,00;9;1,000000;11359,00;776;0,070000;-99,00;-99;-99,0000
GrDF;2014;G;IRIS;930310201;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;11272,00;666;0,670000;384,00;1;1,000000
GrDF;2014;G;IRIS;930310202;0,00;0;0,000000;341,00;1;1,000000;1391,00;3;1,000000;10431,00;668;0,380000;-99,00;-99;-99,0000
GrDF;2014;G;IRIS;930310203;0,00;0;0,000000;0,00;0;0,000000;1800,00;1;1,000000;10019,00;510;0,680000;0,00;0;0,000000
GrDF;2014;G;IRIS;930310301;0,00;0;0,000000;0,00;0;0,000000;756,00;2;1,000000;6097,00;897;0,490000;0,00;0;0,000000
GrDF;2014;G;IRIS;930310302;0,00;0;0,000000;0,00;0;0,000000;0,00;1;0,000000;7550,00;546;0,790000;0,00;0;0,000000
GrDF;2014;G;IRIS;930310303;0,00;0;0,000000;0,00;0;0,000000;337,00;1;1,000000;15862,00;1263;0,570000;0,00;0;0,000000
GrDF;2014;G;IRIS;930310304;0,00;0;0,000000;0,00;0;0,000000;652,00;3;1,000000;12628,00;1027;0,520000;0,00;0;0,000000
GrDF;2014;G;IRIS;930310401;0,00;0;0,000000;0,00;0;0,000000;7429,00;3;1,000000;4311,00;768;0,630000;2377,00;1;1,000000
GrDF;2014;G;IRIS;930310402;0,00;0;0,000000;325,00;1;1,000000;996,00;4;1,000000;9249,00;644;0,610000;268,00;1;1,000000
GrDF;2014;G;IRIS;930310403;0,00;0;0,000000;0,00;0;0,000000;4276,00;4;1,000000;12105,00;959;0,400000;0,00;0;0,000000
GrDF;2014;G;IRIS;930310404;0,00;0;0,000000;0,00;0;0,000000;183,00;1;1,000000;10673,00;876;0,570000;0,00;0;0,000000
GrDF;2014;G;IRIS;930310405;0,00;0;0,000000;0,00;0;0,000000;313,00;1;1,000000;4405,00;410;0,390000;1950,00;1;1,000000
GrDF;2014;G;IRIS;930310501;0,00;0;0,000000;0,00;0;0,000000;3312,00;4;1,000000;9302,00;561;0,340000;-99,00;-99;-99,0000
GrDF;2014;G;IRIS;930310502;0,00;0;0,000000;0,00;0;0,000000;1041,00;3;1,000000;14553,00;961;0,230000;0,00;0;0,000000
GrDF;2014;G;IRIS;930310601;0,00;0;0,000000;7685,00;1;1,000000;8523,00;8;1,000000;7707,00;360;0,320000;0,00;0;0,000000
GrDF;2014;G;IRIS;930319999;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;455,00;32;0,000000;-99,00;-99;-99,0000
GrDF;2014;G;IRIS;930320101;0,00;0;0,000000;0,00;0;0,000000;563,00;1;1,000000;9169,00;576;0,300000;0,00;0;0,000000
GrDF;2014;G;IRIS;930320102;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;11257,00;580;0,160000;0,00;0;0,000000
GrDF;2014;G;IRIS;930320103;0,00;0;0,000000;0,00;0;0,000000;531,00;1;1,000000;8384,00;640;0,160000;0,00;0;0,000000
GrDF;2014;G;IRIS;930320104;0,00;0;0,000000;0,00;0;0,000000;1448,00;2;1,000000;8721,00;525;0,280000;0,00;0;0,000000
GrDF;2014;G;IRIS;930320105;0,00;0;0,000000;0,00;0;0,000000;1899,00;4;1,000000;9041,00;494;0,050000;0,00;0;0,000000
GrDF;2014;G;IRIS;930320106;0,00;0;0,000000;0,00;0;0,000000;5458,00;7;1,000000;4671,00;693;0,000000;0,00;0;0,000000
GrDF;2014;G;IRIS;930320107;0,00;0;0,000000;0,00;0;0,000000;1238,00;4;1,000000;5315,00;988;0,000000;481,00;1;1,000000
GrDF;2014;G;IRIS;930320108;0,00;0;0,000000;0,00;0;0,000000;8799,00;4;1,000000;9833,00;536;0,000000;0,00;0;0,000000
GrDF;2014;G;IRIS;930320109;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;10383,00;664;0,150000;0,00;0;0,000000
GrDF;2014;G;IRIS;930320110;0,00;0;0,000000;0,00;0;0,000000;581,00;2;1,000000;9495,00;632;0,280000;0,00;0;0,000000
GrDF;2014;G;IRIS;930320111;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;12222,00;639;0,040000;0,00;0;0,000000
GrDF;2014;G;IRIS;930320112;0,00;0;0,000000;0,00;0;0,000000;2855,00;4;1,000000;8824,00;616;0,280000;0,00;0;0,000000
GrDF;2014;G;IRIS;930320113;0,00;0;0,000000;0,00;0;0,000000;498,00;1;1,000000;10390,00;582;0,070000;302,00;1;1,000000
GrDF;2014;G;IRIS;930320114;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;12322,00;616;0,000000;0,00;0;0,000000
GrDF;2014;G;IRIS;930320115;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;11290,00;590;0,000000;0,00;0;0,000000
GrDF;2014;G;IRIS;930320116;0,00;0;0,000000;0,00;0;0,000000;462,00;1;1,000000;5759,00;492;0,630000;2516,00;1;1,000000
GrDF;2014;G;IRIS;930320117;0,00;0;0,000000;0,00;0;0,000000;1370,00;1;1,000000;11954,00;807;0,000000;0,00;0;0,000000
GrDF;2014;G;IRIS;930329999;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;497,00;27;0,540000;0,00;0;0,000000
GrDF;2014;G;IRIS;930330101;0,00;0;0,000000;0,00;0;0,000000;911,00;2;1,000000;14302,00;623;0,000000;0,00;0;0,000000
GrDF;2014;G;IRIS;930330102;0,00;0;0,000000;0,00;0;0,000000;562,00;2;1,000000;7921,00;414;0,000000;0,00;0;0,000000
GrDF;2014;G;IRIS;930330103;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;10709,00;629;0,000000;0,00;0;0,000000
GrDF;2014;G;IRIS;930339999;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;-99,00;-99;-99,0000;0,00;0;0,000000
GrDF;2014;G;IRIS;930390101;0,00;0;0,000000;0,00;0;0,000000;1867,00;4;1,000000;9067,00;786;0,450000;456,00;2;1,000000
GrDF;2014;G;IRIS;930390102;0,00;0;0,000000;0,00;0;0,000000;159,00;2;1,000000;10858,00;402;0,650000;1019,00;1;1,000000
GrDF;2014;G;IRIS;930390103;0,00;0;0,000000;0,00;0;0,000000;504,00;1;1,000000;4196,00;518;0,420000;0,00;0;0,000000
GrDF;2014;G;IRIS;930399999;0,00;0;0,000000;0,00;0;0,000000;206,00;1;1,000000;0,00;0;0,000000;0,00;0;0,000000
GrDF;2014;G;IRIS;930450101;0,00;0;0,000000;0,00;0;0,000000;2619,00;4;1,000000;9350,00;593;0,260000;351,00;1;1,000000
GrDF;2014;G;IRIS;930450102;0,00;0;0,000000;0,00;0;0,000000;2539,00;3;1,000000;6232,00;523;0,400000;0,00;0;0,000000
GrDF;2014;G;IRIS;930450103;0,00;0;0,000000;98,00;1;1,000000;501,00;1;1,000000;7176,00;670;0,030000;0,00;0;0,000000
GrDF;2014;G;IRIS;930450104;0,00;0;0,000000;0,00;0;0,000000;12035,00;4;1,000000;666,00;426;0,130000;0,00;0;0,000000
GrDF;2014;G;IRIS;930450105;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;14421,00;619;0,900000;0,00;0;0,000000
GrDF;2014;G;IRIS;930450106;0,00;0;0,000000;0,00;0;0,000000;10365,00;8;1,000000;5320,00;411;0,440000;0,00;0;0,000000
