OPERATEUR;ANNEE;FILIERE;TYPE;CODE;CONSOA;PDLA;INDQUALA;CONSOI;PDLI;INDQUALI;CONSOT;PDLT;INDQUALT;CONSOR;PDLR;INDQUALR;CONSONA;PDLNA;INDQUALNA
Réseau GDS;2013;G;Region;44;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;385,00;18;1,000000;0,00;0;0,000000
GrDF;2013;G;Region;11;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;19019,00;619;NA;0,00;0;0,000000
GrDF;2013;G;Region;24;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;4637,00;153;NA;0,00;0;0,000000
GrDF;2013;G;Region;27;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;4254,00;153;NA;0,00;0;0,000000
GrDF;2013;G;Region;28;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;6954,00;256;NA;0,00;0;0,000000
GrDF;2013;G;Region;32;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;8631,00;397;NA;0,00;0;0,000000
GrDF;2013;G;Region;44;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;6886,00;189;NA;0,00;0;0,000000
GrDF;2013;G;Region;52;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;7600,00;204;NA;0,00;0;0,000000
GrDF;2013;G;Region;53;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;5175,00;182;NA;0,00;0;0,000000
GrDF;2013;G;Region;75;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;7445,00;290;NA;0,00;0;0,000000
GrDF;2013;G;Region;76;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;7967,00;379;NA;0,00;0;0,000000
GrDF;2013;G;Region;84;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;13956,00;451;NA;0,00;0;0,000000
GrDF;2013;G;Region;93;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;7401,00;303;NA;0,00;0;0,000000
Régie municipale multiservices de La Réole;2013;G;Region;75;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;2152,20;118;1,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;012020101;0,00;0;0,000000;264648,20;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;012890102;0,00;0;0,000000;53940,73;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;012940000;0,00;0;0,000000;12411,42;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;013050000;0,00;0;0,000000;52049,71;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;013760000;0,00;0;0,000000;153871,90;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;014510101;0,00;0;0,000000;49676,08;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;020950000;0,00;0;0,000000;14998,33;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;021030000;0,00;0;0,000000;101602,90;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;021310000;0,00;0;0,000000;377294,30;2;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;021680301;0,00;0;0,000000;147538,10;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;021970000;0,00;0;0,000000;3478,24;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;023870000;0,00;0;0,000000;69238,07;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;025140000;0,00;0;0,000000;170601,00;2;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;025550000;0,00;0;0,000000;54881,86;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;025750000;0,00;0;0,000000;1250975,00;2;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;026190000;0,00;0;0,000000;8118,58;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;026800000;0,00;0;0,000000;7702,67;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;027410000;0,00;0;0,000000;224,34;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;027460000;0,00;0;0,000000;342,78;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;027690000;0,00;0;0,000000;5319,51;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;027800000;0,00;0;0,000000;381281,70;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;030820101;0,00;0;0,000000;401902,00;2;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;030820102;0,00;0;0,000000;48397,79;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;031180102;0,00;0;0,000000;2841,25;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;031850107;0,00;0;0,000000;52818,46;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;032540102;0,00;0;0,000000;37243,35;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;072190000;0,00;0;0,000000;80410,19;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;072650000;0,00;0;0,000000;33280,21;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;081940000;0,00;0;0,000000;41709,04;2;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;083110000;0,00;0;0,000000;90695,71;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;084200000;0,00;0;0,000000;56356,24;2;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2013;G;IRIS;084800000;0,00;0;0,000000;157472,70;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
TIGF;2013;G;IRIS;091190000;0,00;0;1,000000;98885,18;1;1,000000;0,00;0;1,000000;0,00;0;0,000000;0,00;0;0,000000
TIGF;2013;G;IRIS;092250101;0,00;0;1,000000;129750,90;1;1,000000;0,00;0;1,000000;0,00;0;0,000000;0,00;0;0,000000
TIGF;2013;G;IRIS;092820000;0,00;0;1,000000;9207,59;1;1,000000;0,00;0;1,000000;0,00;0;0,000000;0,00;0;0,000000
TIGF;2013;G;IRIS;093310000;6683,41;1;1,000000;0,00;0;1,000000;0,00;0;1,000000;0,00;0;0,000000;0,00;0;0,000000
GrDF;2013;G;IRIS;100050000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;654,00;44;0,000000;0,00;0;0,000000
GrDF;2013;G;IRIS;100060000;0,00;0;0,000000;29764,00;2;1,000000;3890,00;6;1,000000;17362,00;812;0,110000;0,00;0;0,000000
GrDF;2013;G;IRIS;100300000;0,00;0;0,000000;9639,00;1;1,000000;3963,00;6;1,000000;7177,00;302;0,000000;0,00;0;0,000000
GrDF;2013;G;IRIS;100330101;0,00;0;0,000000;0,00;0;0,000000;1174,00;2;1,000000;13445,00;579;0,000000;0,00;0;0,000000
GrDF;2013;G;IRIS;100330102;0,00;0;0,000000;0,00;0;0,000000;3589,00;5;1,000000;7102,00;446;0,250000;0,00;0;0,000000
GrDF;2013;G;IRIS;100330103;0,00;0;0,000000;21023,00;2;1,000000;4171,00;4;1,000000;17630,00;842;0,120000;0,00;0;0,000000
