OPERATEUR;ANNEE;FILIERE;TYPE;CODE;CONSOA;PDLA;INDQUALA;CONSOI;PDLI;INDQUALI;CONSOT;PDLT;INDQUALT;CONSOR;PDLR;INDQUALR;CONSONA;PDLNA;INDQUALNA
GRT Gaz;2008;G;IRIS;012020101;0,00;0;0,000000;53379,00;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2008;G;IRIS;012890102;0,00;0;0,000000;48682,26;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2008;G;IRIS;012940000;0,00;0;0,000000;17780,01;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2008;G;IRIS;013050000;0,00;0;0,000000;46806,06;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2008;G;IRIS;013760000;0,00;0;0,000000;172004,50;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2008;G;IRIS;014510101;0,00;0;0,000000;66573,07;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2008;G;IRIS;020950000;0,00;0;0,000000;16392,20;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2008;G;IRIS;021030000;0,00;0;0,000000;142598,50;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2008;G;IRIS;021310000;0,00;0;0,000000;367182,60;2;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2008;G;IRIS;021680301;0,00;0;0,000000;130480,00;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2008;G;IRIS;021970000;0,00;0;0,000000;5531,44;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2008;G;IRIS;023870000;0,00;0;0,000000;84683,87;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2008;G;IRIS;025140000;0,00;0;0,000000;120705,90;2;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
