OPERATEUR;ANNEE;FILIERE;TYPE;CODE;CONSOA;PDLA;INDQUALA;CONSOI;PDLI;INDQUALI;CONSOT;PDLT;INDQUALT;CONSOR;PDLR;INDQUALR;THERMOR;PARTR;CONSONA;PDLNA;INDQUALNA
Réseau GDS;2017;G;IRIS;674822002;0,00;0;0,000000;26316,89;1;1,000000;513,03;1;1,000000;2042,46;388;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822101;0,00;0;0,000000;0,00;0;0,000000;3841,17;8;1,000000;6863,85;360;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822102;0,00;0;0,000000;0,00;0;0,000000;9570,07;9;1,000000;14604,09;640;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822103;0,00;0;0,000000;0,00;0;0,000000;8220,26;7;1,000000;15456,85;835;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822104;0,00;0;0,000000;0,00;0;0,000000;2381,84;5;1,000000;10071,34;456;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822105;0,00;0;0,000000;0,00;0;0,000000;10471,74;7;1,000000;11053,88;446;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822106;0,00;0;0,000000;0,00;0;0,000000;1390,20;3;1,000000;10473,42;502;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822201;0,00;0;0,000000;0,00;0;0,000000;33684,52;14;0,870000;6017,49;443;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822202;0,00;0;0,000000;383,66;1;1,000000;79058,92;9;0,800000;3975,20;410;0,000000;0,00;0,00;245,16;1;1,000000
Réseau GDS;2017;G;IRIS;674822203;0,00;0;0,000000;231967,84;6;1,000000;20354,47;3;0,330000;907,73;11;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822204;0,00;0;0,000000;209369,69;1;1,000000;2515,32;4;1,000000;220,60;5;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822205;0,00;0;0,000000;1756,63;3;1,000000;33965,04;2;1,000000;1833,47;18;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822206;0,00;0;0,000000;246120,14;11;1,000000;82859,24;11;0,920000;2788,54;15;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822301;0,00;0;0,000000;0,00;0;0,000000;3725,53;6;1,000000;3164,54;322;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822302;0,00;0;0,000000;0,00;0;0,000000;11484,93;13;1,000000;3306,10;365;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822303;0,00;0;0,000000;0,00;0;0,000000;3209,65;7;1,000000;6199,06;432;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822304;0,00;0;0,000000;0,00;0;0,000000;4165,31;7;1,000000;9450,67;504;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822305;0,00;0;0,000000;2624,69;1;1,000000;4924,15;9;1,000000;806,13;52;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822401;0,00;0;0,000000;0,00;0;0,000000;1364,85;4;1,000000;11316,99;866;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822402;0,00;0;0,000000;0,00;0;0,000000;13179,43;13;1,000000;1716,37;322;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822403;0,00;0;0,000000;0,00;0;0,000000;5632,58;8;1,000000;4367,89;397;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822404;0,00;0;0,000000;0,00;0;0,000000;2810,90;5;1,000000;7099,46;560;0,000000;0,00;0,00;319,83;1;1,000000
Réseau GDS;2017;G;IRIS;674822405;0,00;0;0,000000;0,00;0;0,000000;4020,43;7;1,000000;7362,16;598;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822406;0,00;0;0,000000;0,00;0;0,000000;5034,31;5;1,000000;5514,32;443;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822407;0,00;0;0,000000;0,00;0;0,000000;4586,93;7;1,000000;7204,23;525;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822501;0,00;0;0,000000;18970,73;4;1,000000;144865,01;34;0,950000;15638,30;281;0,010000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822502;0,00;0;0,000000;0,00;0;0,000000;2683,96;2;1,000000;12315,00;482;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822503;0,00;0;0,000000;0,00;0;0,000000;1331,92;3;1,000000;7539,15;396;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822601;0,00;0;0,000000;0,00;0;0,000000;17120,28;14;1,000000;8274,07;709;0,000000;0,00;0,00;422,15;1;1,000000
Réseau GDS;2017;G;IRIS;674822602;0,00;0;0,000000;0,00;0;0,000000;5772,75;8;1,000000;3162,32;346;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822702;0,00;0;0,000000;0,00;0;0,000000;13725,89;5;1,000000;2689,63;765;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822703;0,00;0;0,000000;0,00;0;0,000000;952,61;1;1,000000;5273,20;476;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822801;0,00;0;0,000000;0,00;0;0,000000;804,12;2;1,000000;3358,22;303;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822802;0,00;0;0,000000;0,00;0;0,000000;91,11;1;1,000000;1891,23;324;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822804;0,00;0;0,000000;0,00;0;0,000000;14469,27;19;1,000000;4446,33;372;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822901;0,00;0;0,000000;0,00;0;0,000000;1717,50;1;1,000000;1786,05;353;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674822902;0,00;0;0,000000;0,00;0;0,000000;4001,45;6;0,750000;6217,98;382;0,000000;0,00;0,00;383,95;1;1,000000
Réseau GDS;2017;G;IRIS;674823001;0,00;0;0,000000;0,00;0;0,000000;2187,83;3;1,000000;13196,47;868;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674823002;0,00;0;0,000000;0,00;0;0,000000;8527,20;8;0,890000;8574,90;523;0,000000;0,00;0,00;0,00;0;0,000000
