OPERATEUR;ANNEE;FILIERE;TYPE;CODE;CONSOA;PDLA;INDQUALA;CONSOI;PDLI;INDQUALI;CONSOT;PDLT;INDQUALT;CONSOR;PDLR;INDQUALR;CONSONA;PDLNA;INDQUALNA
Réseau GDS;2015;G;Region;44;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;255,00;13;1,000000;0,00;0;0,000000
Caléo (Service gaz et eau de la ville de Guebwiller);2015;G;Region;44;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;212,00;24;1,000000;0,00;0;0,000000
GrDF;2015;G;Region;11;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;11377,00;614;0,000000;11812,00;145;0,000000
GrDF;2015;G;InterCom;200000438;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;-99,00;-99;-99,0000;0,00;0;0,000000
GrDF;2015;G;InterCom;200000487;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;-99,00;-99;-99,0000;0,00;0;0,000000
GrDF;2015;G;InterCom;200000545;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;-99,00;-99;-99,0000
GrDF;2015;G;InterCom;200000933;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;-99,00;-99;-99,0000
GrDF;2015;G;InterCom;200005932;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;-99,00;-99;-99,0000
GrDF;2015;G;InterCom;200006070;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;-99,00;-99;-99,0000;0,00;0;0,000000
GrDF;2015;G;InterCom;200006682;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;-99,00;-99;-99,0000
GrDF;2015;G;InterCom;200006716;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;-99,00;-99;-99,0000
GrDF;2015;G;InterCom;200006872;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;-99,00;-99;-99,0000
GrDF;2015;G;InterCom;200006971;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;-99,00;-99;-99,0000;0,00;0;0,000000
GrDF;2015;G;InterCom;200010650;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;-99,00;-99;-99,0000;-99,00;-99;-99,0000
GrDF;2015;G;InterCom;200010700;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;158,00;12;0,000000;-99,00;-99;-99,0000
GrDF;2015;G;InterCom;200011773;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;256,00;14;0,000000;-99,00;-99;-99,0000
GrDF;2015;G;InterCom;200011997;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;-99,00;-99;-99,0000;0,00;0;0,000000
GrDF;2015;G;InterCom;200017341;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;-99,00;-99;-99,0000;0,00;0;0,000000
GrDF;2015;G;InterCom;200017846;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;-99,00;-99;-99,0000;230,00;2;0,000000
GrDF;2015;G;InterCom;200018083;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;324,00;16;0,000000;-99,00;-99;-99,0000
