OPERATEUR;ANNEE;FILIERE;TYPE;CODE;CONSOA;PDLA;INDQUALA;CONSOI;PDLI;INDQUALI;CONSOT;PDLT;INDQUALT;CONSOR;PDLR;INDQUALR;CONSONA;PDLNA;INDQUALNA
GRT Gaz;2009;G;IRIS;012020101;0,00;0;0,000000;51710,92;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2009;G;IRIS;012890102;0,00;0;0,000000;54576,35;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2009;G;IRIS;012940000;0,00;0;0,000000;9960,27;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2009;G;IRIS;013050000;0,00;0;0,000000;49696,09;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2009;G;IRIS;013760000;0,00;0;0,000000;152673,90;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2009;G;IRIS;014510101;0,00;0;0,000000;67850,24;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2009;G;IRIS;020950000;0,00;0;0,000000;11011,82;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2009;G;IRIS;021030000;0,00;0;0,000000;107573,60;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2009;G;IRIS;021310000;0,00;0;0,000000;409336,10;2;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2009;G;IRIS;021680301;0,00;0;0,000000;117734,30;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2009;G;IRIS;021970000;0,00;0;0,000000;3753,73;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2009;G;IRIS;023870000;0,00;0;0,000000;81736,20;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2009;G;IRIS;025140000;0,00;0;0,000000;119602,10;2;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
