energy/year/total
G/2010/1716592.5699999996
G/2011/1687570.1800000004
G/2012/1834899.2
G/2013/5002411.67
G/2014/4393433.499999999
G/2015/6866475.260000002
G/2016/7426197.6000000015
G/2017/2233190.91
E/2011/1236777.739
E/2012/10638450.267
E/2013/13768770.655
E/2014/14367954.330000002
E/2015/18868582.690000013
E/2016/19309046.99800001
E/2017/8498846.969999999
P/2010/1154387127.1044111
P/2011/1136357350.0434234
P/2012/1169589073.3819196
P/2013/1159696104.93648
P/2014/1167387480.7125754
P/2015/1177793906.0594168
P/2016/1204547938.632
P/2017/1218921588.5040002
P/2018/1203266160.9360003
P/2019/1214471266.5156622
